Date,BSET100,VNM
13/2/2019,10.56,15.89132
14/2/2019,10.55,16.168036
15/2/2019,10.42,16.316275
18/2/2019,10.42,NA
20/2/2019,10.5,16.543575
21/2/2019,10.52,16.523809
22/2/2019,10.6,16.800524
25/2/2019,10.69,16.869705
26/2/2019,10.62,16.78076
27/2/2019,10.63,16.849937
28/2/2019,10.54,16.484282
1/3/2019,10.46,16.543575
4/3/2019,10.43,16.67205
5/3/2019,10.46,16.563341
6/3/2019,10.4,16.494162
7/3/2019,10.45,16.11862
8/3/2019,10.43,15.960499
11/3/2019,10.4,16.395336
12/3/2019,10.4,16.790644
13/3/2019,10.49,16.948765
14/3/2019,10.48,16.770876
15/3/2019,10.41,16.652285
18/3/2019,10.35,16.958649
19/3/2019,10.45,16.869705
20/3/2019,10.43,16.74123
21/3/2019,10.48,16.573225
22/3/2019,10.57,16.266861
25/3/2019,10.43,16.187801
26/3/2019,10.47,16.40522
27/3/2019,10.45,16.276745
28/3/2019,10.48,16.276745
29/3/2019,10.51,16.365686
1/4/2019,10.55,16.810408
2/4/2019,10.6,16.632521
3/4/2019,10.59,16.760992
4/4/2019,10.55,16.840055
5/4/2019,10.56,16.889467
9/4/2019,10.65,16.751114
10/4/2019,10.68,16.652285
11/4/2019,10.66,16.760992
12/4/2019,10.68,16.978413
17/4/2019,10.77,16.612755
18/4/2019,10.78,16.484282
19/4/2019,10.78,NA
22/4/2019,10.79,16.434866
23/4/2019,10.78,16.66217
24/4/2019,10.79,16.612755
25/4/2019,10.79,16.592989
26/4/2019,10.74,16.504045
29/4/2019,10.74,16.494162
30/4/2019,10.81,16.474398
2/5/2019,10.86,16.217449
3/5/2019,10.86,16.326157
7/5/2019,10.8,15.980265
8/5/2019,10.69,16.029676
9/5/2019,10.64,15.881437
10/5/2019,10.66,16.098858
13/5/2019,10.6,15.950616
14/5/2019,10.56,16.207563
15/5/2019,10.48,16.434866
16/5/2019,10.43,16.553459
17/5/2019,10.38,16.227331
21/5/2019,10.41,16.444748
22/5/2019,10.53,16.266861
23/5/2019,10.4,16.227331
24/5/2019,10.42,16.03956
27/5/2019,10.49,NA
28/5/2019,10.55,16.000029
29/5/2019,10.46,16.217449
30/5/2019,10.48,15.980265
31/5/2019,10.47,16.000029
4/6/2019,10.59,16.049442
5/6/2019,10.67,16.029676
6/6/2019,10.69,16.019793
7/6/2019,10.68,16.177917
10/6/2019,10.77,16.138388
11/6/2019,10.81,16.177917
12/6/2019,10.8,16.069208
13/6/2019,10.81,16.029676
14/6/2019,10.8,16.088974
17/6/2019,10.79,15.89132
18/6/2019,10.87,15.940732
19/6/2019,11.06,16.11862
20/6/2019,11.14,16.247097
21/6/2019,11.12,16.177917
24/6/2019,11.12,16.266861
25/6/2019,11.15,16.128504
26/6/2019,11.15,16.088974
27/6/2019,11.22,15.841908
28/6/2019,11.2,15.832025
1/7/2019,11.27,16.07909
2/7/2019,11.21,16.11862
3/7/2019,11.25,16.069208
4/7/2019,11.13,NA
5/7/2019,11.18,16.088974
8/7/2019,11.16,15.92097
9/7/2019,11.09,15.89132
10/7/2019,11.21,16.098858
11/7/2019,11.2,16.03956
12/7/2019,11.3,16.237211
15/7/2019,11.14,16.07909
17/7/2019,11.1,16.128504
18/7/2019,11.12,16.088974
19/7/2019,11.2,16.177917
22/7/2019,11.13,16.187801
23/7/2019,11.11,16.256979
24/7/2019,11.1,16.217449
25/7/2019,11.13,16.197681
26/7/2019,11.04,16.316275
30/7/2019,10.96,15.930852
31/7/2019,11.02,15.990147
1/8/2019,10.94,15.772728
2/8/2019,10.84,15.881437
5/8/2019,10.73,15.100707
6/8/2019,10.75,15.080943
7/8/2019,10.74,15.397187
8/8/2019,10.7,15.644254
9/8/2019,10.59,15.466366
13/8/2019,10.7,15.347774
14/8/2019,10.43,15.061175
15/8/2019,10.3,15.248948
16/8/2019,10.5,15.397187
19/8/2019,10.53,15.446601
20/8/2019,10.44,15.496014
21/8/2019,10.54,15.664019
22/8/2019,10.51,15.723315
23/8/2019,10.61,15.40707
26/8/2019,10.44,15.387303
27/8/2019,10.39,15.308243
28/8/2019,10.41,15.387303
29/8/2019,10.58,15.377422
30/8/2019,10.7,15.496014
2/9/2019,10.7,NA
3/9/2019,10.65,15.466366
4/9/2019,10.75,15.545426
5/9/2019,10.82,15.654137
6/9/2019,10.83,15.624488
9/9/2019,10.84,15.55531
10/9/2019,10.8,15.466366
11/9/2019,10.89,15.476248
12/9/2019,10.79,15.545426
13/9/2019,10.79,15.664019
16/9/2019,10.8,15.81226
17/9/2019,10.81,15.832025
18/9/2019,10.73,15.81226
19/9/2019,10.62,15.89132
20/9/2019,10.6,15.851791
23/9/2019,10.51,15.81226
24/9/2019,10.56,15.802376
25/9/2019,10.55,15.871554
26/9/2019,10.65,16.009914
27/9/2019,10.67,15.960499
30/9/2019,10.61,16.11862
1/10/2019,10.53,15.980265
2/10/2019,10.44,15.792494
3/10/2019,10.43,15.911086
4/10/2019,10.39,16.049442
7/10/2019,10.46,15.89132
8/10/2019,10.45,15.74308
9/10/2019,10.49,15.81226
10/10/2019,10.42,15.89132
11/10/2019,10.58,15.980265
15/10/2019,10.59,16.059326
16/10/2019,10.65,16.069208
17/10/2019,10.63,16.009914
18/10/2019,10.62,15.950616
21/10/2019,10.54,16.009914
22/10/2019,10.62,16.019793
24/10/2019,10.43,15.980265
25/10/2019,11.31,16.098858
28/10/2019,10.27,16.069208
29/10/2019,10.22,16.029676
30/10/2019,10.31,16.07909
31/10/2019,10.29,16.029676
1/11/2019,10.23,16.424986
4/11/2019,10.46,16.494162
5/11/2019,10.5,16.474398
6/11/2019,10.48,16.464514
7/11/2019,10.6,16.4151
8/11/2019,10.59,16.4151
11/11/2019,10.47,16.345924
12/11/2019,10.49,16.345924
13/11/2019,10.42,16.187801
14/11/2019,10.39,16.158152
15/11/2019,10.35,16.256979
18/11/2019,10.39,16.197681
19/11/2019,10.38,16.158152
20/11/2019,10.29,16.108738
21/11/2019,10.26,15.901202
22/11/2019,10.31,15.841908
25/11/2019,10.43,15.89132
26/11/2019,10.38,15.990147
27/11/2019,10.38,15.950616
28/11/2019,10.32,NA
29/11/2019,10.26,15.752962
2/12/2019,10.11,15.604723
3/12/2019,10.11,15.565192
4/12/2019,10.09,15.733198
6/12/2019,10.04,15.74308
9/12/2019,10.03,15.624488
11/12/2019,10.05,15.723315
12/12/2019,10.15,15.990147
13/12/2019,10.23,15.901202
16/12/2019,10.05,15.802376
17/12/2019,10.05,15.693667
18/12/2019,10.17,15.673902
19/12/2019,10.23,15.59484
20/12/2019,10.21,15.693667
23/12/2019,10.22,15.708589
24/12/2019,10.18,15.76828
25/12/2019,10.2,NA
26/12/2019,10.24,15.788177
27/12/2019,10.24,15.788177
30/12/2019,10.24,15.843945
2/1/2020,10.34,16.192492
3/1/2020,10.34,16.023197
6/1/2020,10.16,15.973406
7/1/2020,10.26,15.943529
8/1/2020,10.09,15.794151
9/1/2020,10.23,15.784194
10/1/2020,10.22,15.843945
13/1/2020,10.26,16.033155
14/1/2020,10.26,16.003281
15/1/2020,10.21,15.913653
16/1/2020,10.3,15.943529
17/1/2020,10.33,15.983362
20/1/2020,10.23,NA
21/1/2020,10.14,15.923613
22/1/2020,10.14,15.973406
23/1/2020,10.13,16.013239
24/1/2020,10.11,15.943529
27/1/2020,9.78,15.634816
28/1/2020,9.73,15.525273
29/1/2020,9.8,15.565107
30/1/2020,9.78,15.455564
31/1/2020,9.72,14.828179
3/2/2020,9.6,14.897889
4/2/2020,9.78,15.037308
5/2/2020,9.87,14.997474
6/2/2020,9.87,15.067183
7/2/2020,9.86,14.987515
11/2/2020,9.78,15.107017
12/2/2020,9.9,15.236477
13/2/2020,9.85,15.21656
14/2/2020,9.81,15.206602
17/2/2020,9.84,NA
18/2/2020,9.74,15.007432
19/2/2020,9.71,14.95764
20/2/2020,9.61,14.937723
21/2/2020,9.63,14.897889
24/2/2020,9.24,14.141044
25/2/2020,9.33,14.021543
26/2/2020,8.81,14.051417
27/2/2020,9.01,13.64312
28/2/2020,8.64,13.682954
2/3/2020,8.63,13.812414
3/3/2020,8.91,13.672995
4/3/2020,8.93,13.921957
5/3/2020,9.02,13.633162
6/3/2020,8.82,13.533577
9/3/2020,8.03,12.637313
10/3/2020,8.15,12.776732
11/3/2020,8,12.368435
12/3/2020,7.1,11.043957
13/3/2020,7.26,11.1535
16/3/2020,6.69,10.227362
17/3/2020,6.65,10.655576
18/3/2020,6.65,9.998316
19/3/2020,6.7,10.486281
20/3/2020,7.37,10.456406
23/3/2020,6.61,9.659727
24/3/2020,6.66,10.446447
25/3/2020,7.01,10.804954
26/3/2020,7.09,10.994164
27/3/2020,7.12,10.476323
30/3/2020,7.03,10.416572
31/3/2020,7.29,10.396654
1/4/2020,7.13,10.287111
2/4/2020,7.35,10.605783
3/4/2020,7.38,10.695409
7/4/2020,7.97,11.621549
8/4/2020,7.86,11.820718
9/4/2020,7.92,11.920303
10/4/2020,8.04,NA
13/4/2020,8.08,11.860552
14/4/2020,8.21,12.00993
15/4/2020,8.06,11.890427
16/4/2020,7.8,12.049764
17/4/2020,8.09,12.199141
20/4/2020,8.3,12.109513
21/4/2020,8.2,11.641465
22/4/2020,8.26,12.099555
23/4/2020,8.32,11.960136
24/4/2020,8.23,12.298725
27/4/2020,8.26,12.199141
28/4/2020,8.33,12.328601
29/4/2020,8.37,12.39831
30/4/2020,8.53,12.39831
5/5/2020,8.37,12.288767
7/5/2020,8.23,12.726939
8/5/2020,8.28,13.165113
11/5/2020,8.44,12.816566
12/5/2020,8.52,12.975902
13/5/2020,8.48,12.667189
14/5/2020,8.37,12.846441
15/5/2020,8.38,12.836483
18/5/2020,8.41,13.25474
19/5/2020,8.58,12.98586
20/5/2020,8.66,13.633162
21/5/2020,8.65,13.513659
