Date,VN30_Closeprice,VN30_Open,Set100_ClosePrice,Set100_Open
"Dec 02, 2019",875.10,887.47,2315.59,2346.75
"Nov 29, 2019",887.47,885.90,2349.32,2355.91
"Nov 28, 2019",885.70,894.45,2363.08,2378.92
"Nov 27, 2019",895.06,898.58,2378.94,2383.34
"Nov 26, 2019",897.50,895.36,2379.61,2396.20
"Nov 25, 2019",894.80,892.31,2390.39,2372.37
"Nov 22, 2019",892.31,898.93,2362.57,2359.08
"Nov 21, 2019",898.23,917.00,2352.75,2355.53
"Nov 20, 2019",917.00,925.94,2359.15,2362.89
"Nov 19, 2019",926.07,921.00,2377.18,2375.08
"Nov 18, 2019",920.95,927.49,2379.70,2375.39
"Nov 15, 2019",927.36,928.82,2369.79,2385.33
"Nov 14, 2019",928.44,932.45,2379.09,2388.81
"Nov 13, 2019",932.60,939.82,2386.49,2396.44
"Nov 12, 2019",939.82,939.72,2404.57,2404.68
"Nov 11, 2019",939.72,944.72,2399.43,2414.74
"Nov 08, 2019",944.70,944.28,2424.40,2429.12
"Nov 07, 2019",944.25,942.38,2429.15,2398.57
"Nov 06, 2019",942.38,942.40,2399.67,2404.99
"Nov 05, 2019",942.34,940.53,2405.50,2407.54
"Nov 04, 2019",940.25,933.96,2396.76,2360.98
"Nov 01, 2019",933.55,922.46,2344.43,2356.31
"Oct 31, 2019",922.68,925.02,2357.61,2369.84
"Oct 30, 2019",925.07,923.98,2361.23,2347.08
"Oct 29, 2019",923.97,925.67,2341.33,2359.18
"Oct 28, 2019",925.97,927.96,2350.43,2340.64
"Oct 25, 2019",927.05,925.49,2341.70,2383.40
"Oct 24, 2019",925.25,919.54,2383.98,2406.50
"Oct 23, 2019",919.61,916.81,NA,NA
"Oct 22, 2019",916.81,914.04,2397.76,2386.58
"Oct 21, 2019",914.00,918.02,2379.44,2394.29
"Oct 18, 2019",919.13,919.92,2396.43,2402.10
"Oct 17, 2019",919.10,924.53,2400.11,2410.71
"Oct 16, 2019",924.64,923.26,2402.36,2395.29
"Oct 15, 2019",923.27,921.95,2389.53,2395.16
"Oct 14, 2019",921.91,916.81,NA,NA
"Oct 11, 2019",916.68,913.05,2387.18,2365.71
"Oct 10, 2019",913.05,914.59,2353.98,2366.64
"Oct 09, 2019",914.54,915.38,2370.90,2360.36
"Oct 08, 2019",915.27,907.06,2362.04,2376.77
"Oct 07, 2019",907.50,915.62,2364.98,2361.95
"Oct 04, 2019",915.16,921.70,2351.32,2362.49
"Oct 03, 2019",921.70,919.63,2357.87,2349.68
"Oct 02, 2019",919.73,926.44,2361.92,2368.34
"Oct 01, 2019",926.31,922.87,2378.91,2401.63
"Sep 30, 2019",922.89,924.83,2400.84,2410.01
"Sep 27, 2019",924.83,918.10,2411.31,2397.48
"Sep 26, 2019",918.10,912.91,2398.38,2392.80
"Sep 25, 2019",912.42,910.57,2382.80,2377.07
"Sep 24, 2019",910.76,909.98,2387.58,2375.64
"Sep 23, 2019",909.98,914.73,2374.28,2394.40
"Sep 20, 2019",915.16,918.88,2396.38,2402.03
"Sep 19, 2019",918.88,913.40,2401.68,2429.87
"Sep 18, 2019",913.48,912.42,2425.59,2441.47
"Sep 17, 2019",912.38,908.60,2442.14,2437.08
"Sep 16, 2019",908.60,905.00,2439.94,2446.28
"Sep 13, 2019",905.05,894.21,2437.40,2441.65
"Sep 12, 2019",894.32,886.12,2436.35,2467.28
"Sep 11, 2019",885.52,882.90,2460.53,2450.58
"Sep 10, 2019",883.04,885.84,2443.80,2458.47
"Sep 09, 2019",885.61,885.95,2450.79,2453.44
"Sep 06, 2019",885.95,885.93,2448.89,2461.69
"Sep 05, 2019",886.10,887.21,2448.85,2450.72
"Sep 04, 2019",887.12,888.95,2429.62,2415.26
"Sep 03, 2019",888.97,892.83,2400.58,2426.06
"Aug 30, 2019",892.51,888.94,2423.44,2409.17
"Aug 29, 2019",889.13,886.04,2396.04,2365.61
"Aug 28, 2019",886.08,886.82,2357.06,2359.64
"Aug 27, 2019",886.91,892.48,2353.67,2369.90
"Aug 26, 2019",892.48,899.10,2367.14,2361.76
"Aug 23, 2019",900.53,901.53,2406.15,2390.95
"Aug 22, 2019",901.29,901.28,2383.46,2372.11
"Aug 21, 2019",900.54,894.45,2390.14,2373.02
"Aug 20, 2019",894.45,891.73,2367.37,2396.72
"Aug 19, 2019",891.78,892.32,2387.99,2392.47
"Aug 16, 2019",892.44,890.39,2379.08,2343.70
"Aug 15, 2019",890.78,874.42,2335.62,2333.81
"Aug 14, 2019",880.51,880.04,2357.36,2380.84
"Aug 13, 2019",877.97,882.23,2355.84,2391.95
"Aug 12, 2019",882.23,878.56,NA,NA
"Aug 09, 2019",878.62,875.81,2405.17,2440.04
"Aug 08, 2019",875.81,868.20,2427.87,2438.39
"Aug 07, 2019",868.27,866.13,2436.73,2442.36
"Aug 06, 2019",866.13,870.82,2439.81,2409.98
"Aug 05, 2019",872.39,883.34,2430.30,2445.48
"Aug 02, 2019",885.29,887.06,2462.03,2455.06
"Aug 01, 2019",887.39,884.29,2486.96,2496.36
"Jul 31, 2019",883.19,877.80,2505.76,2492.19
"Jul 30, 2019",877.92,888.70,2495.67,2512.19
"Jul 29, 2019",888.54,887.96,NA,NA
"Jul 26, 2019",887.84,890.44,2510.25,2528.91
"Jul 25, 2019",890.41,887.43,2532.25,2527.97
"Jul 24, 2019",887.39,888.63,2525.07,2531.86
"Jul 23, 2019",888.26,879.42,2527.19,2536.37
"Jul 22, 2019",879.62,880.49,2530.87,2541.46
"Jul 19, 2019",880.79,870.97,2546.55,2547.41
"Jul 18, 2019",870.81,879.66,2528.85,2518.02
